name,altitude,ascent_count,rating,region,report_count,rating_count,bb_count,hotel_count,hostel_count,cottage_count,camping_count,island,county,latitude,longitude,neighbor_count_0_1,neighbor_count_1_2.5,neighbor_count_2.5_5,neighbor_count_5_10,neighbor_count_10_15,neighbor_count_15_20,nearest_city_dist,nearest_city_population,population_0_25,population_25_50,population_50_75,population_75_100,beginner_friendly,national_park
A' Bhuidheanach Bheag,936,5714,2.8,Cairngorms,78,102,37,29,9,182,182,,Highland/Perth and Kinross,56.870342,-4.199001,0,0,0,3,0,7,55.39,10459,0,0,134787,505278,0,Cairngorms
Am Basteir,934,2872,3.98,Isle of Skye,70,58,50,28,11,188,188,Skye,Highland,57.24794,-6.202966,1,0,6,1,0,0,81.72,10459,0,0,0,10459,0,
Meall a' Chrasgaidh,934,3544,3.07,Ullapool,79,51,24,16,5,72,72,,Highland,57.712866,-5.048742,0,1,2,2,8,5,39.11,6545,0,11855,79773,31084,0,
Beinn Chabhair,933,7486,3.28,Loch Lomond,127,141,33,35,7,54,54,,Stirling,56.325779,-4.641493,0,1,0,5,6,4,34.85,15430,0,236311,1965525,1181457,0,Loch Lomond and The Trossachs
Fionn Bheinn,933,4077,3.16,Torridon,64,95,9,10,6,89,89,,Highland,57.611148,-5.102713,0,0,0,2,7,9,40.23,6545,0,6545,85083,23046,1,
Maol Chean-dearg,933,3344,3.65,Torridon,65,64,9,10,6,89,89,,Highland,57.491697,-5.465549,0,0,1,1,3,4,63.01,6545,0,0,76545,33580,0,
The Cairnwell,933,11267,2.46,Cairngorms,145,167,37,29,9,182,182,,Aberdeenshire/Perth and Kinross,56.87952,-3.421199,0,0,2,6,8,1,34.49,6061,0,27308,322897,764106,0,Cairngorms
Meall Buidhe (Glen Lyon),932,6306,3.18,Perthshire,98,114,58,71,5,96,96,,Perth and Kinross,56.617222,-4.44864,0,0,0,0,7,14,45.88,7368,0,17827,210284,2565877,0,
Beinn Bhreac,931,4014,3.08,Cairngorms,85,65,37,29,9,182,182,,Aberdeenshire,57.055072,-3.553472,0,0,2,7,4,6,54.33,6061,0,0,346778,464304,0,Cairngorms
Ben Chonzie,931,13445,3.11,Perthshire,199,281,58,71,5,96,96,,Perth and Kinross,56.453851,-3.992057,0,0,0,0,0,6,12.65,7368,7368,156711,2857042,629891,1,
A' Chailleach (Monadhliath),930,5021,3.03,Cairngorms,77,93,37,29,9,182,182,,Highland,57.109564,-4.179285,0,0,0,0,0,0,41.06,70000,0,70000,44674,113833,0,Cairngorms
Bla Bheinn,928,5217,4.28,Isle of Skye,97,115,50,28,11,188,188,Skye,Highland,57.219565,-6.09321,0,0,0,10,0,0,74.51,10459,0,0,10459,8575,0,
Mayar,928,11957,3.38,Angus,177,159,24,24,1,24,24,,Angus,56.848936,-3.246299,0,0,0,7,5,1,24.81,6061,6061,202549,227722,1289655,1,
Meall nan Eun,928,3143,3.24,Fort William,65,52,72,41,18,147,147,,Argyll and Bute,56.561176,-4.942926,0,0,1,9,8,8,30.42,10459,0,19034,139882,1757025,0,
Moruisg,928,3075,3.08,Torridon,43,62,9,10,6,89,89,,Highland,57.499712,-5.17063,0,0,0,2,5,9,45.61,6545,0,6545,75310,32819,0,
Ben Hope,927,5759,3.71,Sutherland,85,99,33,33,4,49,49,,Highland,58.413113,-4.60786,0,0,0,0,0,0,66.33,7933,0,0,7933,19188,0,
Eididh nan Clach Geala,927,3207,3.47,Ullapool,68,42,24,16,5,72,72,,Highland,57.813501,-4.934202,0,0,2,0,3,6,38.52,6545,0,11855,79773,51748,0,
Beinn Liath Mhor,926,3033,3.74,Torridon,75,71,9,10,6,89,89,,Highland,57.512083,-5.400618,0,0,0,3,5,2,58.78,6545,0,0,81855,28270,0,
Beinn Narnain,926,12766,3.77,Loch Lomond,248,203,33,35,7,54,54,,Argyll and Bute,56.220956,-4.789003,0,0,0,0,2,7,22.98,15430,15430,346214,1922073,511316,0,Loch Lomond and The Trossachs
Geal Charn (Monadhliath),926,4428,3.04,Cairngorms,64,81,37,29,9,182,182,,Highland,57.057418,-4.373572,0,0,0,0,2,4,47.64,70000,0,70000,32087,112674,0,Cairngorms
Meall a' Choire Leith,926,7766,2.99,Perthshire,115,95,58,71,5,96,96,,Perth and Kinross,56.566312,-4.259617,0,0,4,3,5,0,33.25,7368,0,23130,496810,2902777,0,
Seana Bhraigh,926,2160,3.85,Ullapool,53,48,24,16,5,72,72,,Highland,57.84733,-4.89662,0,0,0,3,0,4,39.36,6545,0,11855,79773,51748,0,
Stob Coire Raineach (Buachaille Etive Beag),925,8972,3.81,Fort William,169,112,72,41,18,147,147,,Highland,56.649895,-4.951601,0,1,3,4,17,10,21.09,10459,10459,8575,22798,1568110,0,
Creag Pitridh,924,3449,3.34,Fort William,69,43,72,41,18,147,147,,Highland,56.899713,-4.484955,0,0,0,7,9,6,38.74,10459,0,10459,77368,198795,0,
Sgurr nan Eag,924,3109,3.86,Isle of Skye,63,51,50,28,11,188,188,Skye,Highland,57.19581,-6.211264,0,3,2,3,0,0,78.95,10459,0,0,0,19034,0,
An Coileachan,923,2884,3.31,Ullapool,70,46,24,16,5,72,72,,Highland,57.667625,-4.949498,0,0,1,4,5,2,32.02,6545,0,81855,9773,54169,0,
Sgurr nan Each,923,3252,3.7,Ullapool,73,49,24,16,5,72,72,,Highland,57.681008,-5.04635,0,0,4,2,5,6,37.97,6545,0,11855,79773,31084,0,
Tom na Gruagaich (Beinn Alligin),922,5723,4.11,Torridon,112,107,9,10,6,89,89,,Highland,57.580519,-5.581912,0,0,0,2,3,0,68.8,6545,0,0,6545,93807,0,
An Socach (Affric),921,2181,3.3,Loch Ness,52,37,69,55,11,97,97,,Highland,57.25755,-5.171311,0,0,3,8,14,10,48.84,10459,0,10459,81855,18348,0,
Sgiath Chuil,921,4593,3.07,Loch Lomond,71,80,33,35,7,54,54,,Stirling,56.453147,-4.495654,0,0,0,5,6,11,41.08,7368,0,23130,1836237,1655655,0,Loch Lomond and The Trossachs
Carn Sgulain,920,4625,2.57,Cairngorms,75,93,37,29,9,182,182,,Highland,57.124371,-4.176986,0,0,0,0,0,0,39.43,70000,0,70000,44674,113833,0,Cairngorms
Gairich,919,2570,3.67,Fort William,54,48,72,41,18,147,147,,Highland,57.044879,-5.255827,0,0,0,6,11,14,26.64,10459,0,10459,8575,81855,0,
A' Ghlas-bheinn,918,2486,3.46,Kintail,51,53,3,3,1,41,41,,Highland,57.255081,-5.303686,0,0,1,7,13,13,49.87,10459,0,10459,76545,23658,0,
Creag nan Damh,918,4848,3.44,Kintail,97,46,3,3,1,41,41,,Highland,57.147262,-5.33496,0,0,5,9,9,10,38.98,10459,0,10459,6545,83885,0,
Meall na Teanga,918,3690,3.44,Fort William,70,57,72,41,18,147,147,,Highland,56.989012,-4.930955,0,0,0,0,0,4,21.59,10459,10459,0,85120,22451,0,
Ruadh Stac Mor,918,2132,3.75,Ullapool,70,31,24,16,5,72,72,,Highland,57.726781,-5.329288,0,0,2,1,2,7,55.52,6545,0,0,81855,17811,0,
Sgurr a'Mhadaidh,918,2908,3.86,Isle of Skye,69,43,50,28,11,188,188,Skye,Highland,57.230869,-6.231931,0,3,4,0,0,0,82.09,10459,0,0,0,10459,0,
Carn Aosda,917,11179,2.47,Cairngorms,151,173,37,29,9,182,182,,Aberdeenshire,56.895696,-3.423274,0,0,2,9,5,2,35.82,6061,0,20109,330096,752482,0,Cairngorms
Geal-charn (Drumochter),917,7474,3.0,Cairngorms,110,101,37,29,9,182,182,,Highland,56.874433,-4.304519,0,0,0,4,5,4,49.07,10459,0,10459,77368,404387,0,Cairngorms
Beinn a' Chleibh,916,6689,2.98,Argyll,112,101,58,67,6,101,101,,Argyll and Bute/Stirling,56.39023,-4.83563,0,0,0,1,4,19,39.23,8575,0,96148,1564440,981171,0,
Beinn Teallach,915,3747,3.07,Fort William,53,61,72,41,18,147,147,,Highland,56.935932,-4.694754,0,0,0,1,6,12,28.08,10459,0,10459,70000,112880,0,
Ben Vane,915,10463,3.68,Loch Lomond,184,195,33,35,7,54,54,,Argyll and Bute,56.249786,-4.781655,0,0,2,0,4,5,26.1,15430,0,228895,2004292,561846,0,Loch Lomond and The Trossachs
